Material ID,Density,Band Gap,Formula
mp-2714385,3.3261483065644595,3.1877,NaInGaP(SO6)2
mp-2715465,3.5095503978743654,3.5346,Na3InGa(PO4)3
mp-1111022,3.1908485458005513,1.8618999999999999,Na2InGaF6
mp-2715396,3.5243289418049764,3.5648,Na3InGa(PO4)3
mp-2714529,3.4530128458194445,3.1304000000000003,Na4InGaSi2SO12
mp-2713286,3.3974801562772763,3.4249,Na2InGaP2SO12
mp-2713657,3.3011863684892235,2.9076000000000004,Na2InGaSi(SO6)2
mp-2714556,3.5243992824201413,3.3790999999999998,Na4InGaSi(PO6)2
mp-2714275,3.250917298953835,1.9042000000000001,NaIn2Ga2PS5O24
mp-2716211,3.355574857156595,2.1285000000000003,Na6In2Ga2Si3(SO8)3
mp-2713940,3.3381953961079653,3.2764999999999995,Na3In2Ga2P3(SO8)3
mp-2715768,3.5079006353561106,3.4177000000000004,Na7In2Ga2SiP5O24
mp-2715124,3.437102136875486,3.2431,Na5In2Ga2P5SO24
mp-2715129,3.3230087165592175,2.6580999999999997,Na10In4Ga4Si5S7O48
mp-2714280,3.241592096257812,1.0331000000000001,Na2In4Ga4SiS11O48
mp-2713772,3.2868043623176253,2.1875000000000004,Na6In4Ga4Si3(S3O16)3
mp-2715595,3.4108444329037524,2.5456,Na14In4Ga4Si7S5O48
mp-640442,4.717202707520245,0.0,Na17In12Ga29